	affy_hg_u133_plus_2	ensembl_gene_id	gene_biotype	external_gene_name
2366	1552271_at	ENSG00000212123	protein_coding	PRR22
2355	1552272_a_at	ENSG00000141994	protein_coding	DUS3L
2365	1552272_a_at	ENSG00000212123	protein_coding	PRR22
5020	1552274_at	ENSG00000168297	protein_coding	PXK
5019	1552275_s_at	ENSG00000168297	protein_coding	PXK
2420	1552276_a_at	ENSG00000104142	protein_coding	VPS18
3105	1552277_a_at	ENSG00000066697	protein_coding	MSANTD3
295	1552278_a_at	ENSG00000076351	protein_coding	SLC46A1
294	1552279_a_at	ENSG00000076351	protein_coding	SLC46A1
3359	1552280_at	ENSG00000145850	protein_coding	TIMD4
2607	1552281_at	ENSG00000139540	protein_coding	SLC39A5
4822	1552283_s_at	ENSG00000206077	protein_coding	ZDHHC11B
4832	1552283_s_at	ENSG00000188818	protein_coding	ZDHHC11
3737	1552286_at	ENSG00000250565	protein_coding	ATP6V1E2
2876	1552287_s_at	ENSG00000223959	transcribed_unitary_pseudogene	AFG3L1P
828	1552288_at	ENSG00000160161	protein_coding	CILP2
827	1552289_a_at	ENSG00000160161	protein_coding	CILP2
4524	1552291_at	ENSG00000163964	protein_coding	PIGX
4353	1552293_at	ENSG00000173452	protein_coding	TMEM196
3481	1552295_a_at	ENSG00000165915	protein_coding	SLC39A13
4523	1552296_at	ENSG00000142959	protein_coding	BEST4
1656	1552299_at	ENSG00000155085	protein_coding	AK9
3960	1552301_a_at	ENSG00000167549	protein_coding	CORO6
2016	1552302_at	ENSG00000184988	protein_coding	TMEM106A
2015	1552303_a_at	ENSG00000184988	protein_coding	TMEM106A
1746	1552304_at	ENSG00000139133	protein_coding	ALG10
1747	1552306_at	ENSG00000139133	protein_coding	ALG10
4953	1552307_a_at	ENSG00000168234	protein_coding	TTC39C
3749	1552309_a_at	ENSG00000162614	protein_coding	NEXN
2999	1552310_at	ENSG00000169609	protein_coding	C15orf40
2858	1552311_a_at	ENSG00000173976	protein_coding	RAX2
1805	1552312_a_at	ENSG00000037749	protein_coding	MFAP3
4765	1552314_a_at	ENSG00000158161	protein_coding	EYA3
3715	1552315_at	ENSG00000213203	protein_coding	GIMAP1
3714	1552316_a_at	ENSG00000213203	protein_coding	GIMAP1
3713	1552318_at	ENSG00000213203	protein_coding	GIMAP1
2310	1552319_a_at	ENSG00000129455	protein_coding	KLK8
3982	1552320_a_at	ENSG00000139537	protein_coding	CCDC65
3983	1552321_a_at	ENSG00000139537	protein_coding	CCDC65
2633	1552322_at	ENSG00000156500	protein_coding	FAM122C
2634	1552323_s_at	ENSG00000156500	protein_coding	FAM122C
3438	1552325_at	ENSG00000172361	protein_coding	CFAP53
3439	1552326_a_at	ENSG00000172361	protein_coding	CFAP53
4776	1552327_at	ENSG00000196440	protein_coding	ARMCX4
4503	1552329_at	ENSG00000122257	protein_coding	RBBP6
2875	1552330_at	ENSG00000177946	protein_coding	CENPBD1
1722	1552332_at	ENSG00000100106	protein_coding	TRIOBP
1721	1552334_at	ENSG00000100106	protein_coding	TRIOBP
5022	1552335_at	ENSG00000175294	protein_coding	CATSPER1
182	1552337_s_at	ENSG00000207744	miRNA	MIR10B
3284	1552337_s_at	ENSG00000170166	protein_coding	HOXD4
3912	1552338_at	ENSG00000133937	protein_coding	GSC
2646	1552340_at	ENSG00000170374	protein_coding	SP7
468	1552343_s_at	ENSG00000205268	protein_coding	PDE7A
1999	1552344_s_at	ENSG00000198791	protein_coding	CNOT7
5208	1552347_at	ENSG00000205758	protein_coding	CRYZL1
3798	1552348_at	ENSG00000103355	protein_coding	PRSS33
3797	1552349_a_at	ENSG00000103355	protein_coding	PRSS33
403	1552354_at	ENSG00000099625	protein_coding	CBARP
404	1552355_s_at	ENSG00000099625	protein_coding	CBARP
2744	1552359_at	ENSG00000178460	protein_coding	MCMDC2
2443	1552360_a_at	ENSG00000150455	protein_coding	TIRAP
2824	1552362_a_at	ENSG00000164406	protein_coding	LEAP2
2157	1552364_s_at	ENSG00000153944	protein_coding	MSI2
4260	1552365_at	ENSG00000006747	protein_coding	SCIN
4261	1552367_a_at	ENSG00000006747	protein_coding	SCIN
5021	1552368_at	ENSG00000124092	protein_coding	CTCFL
1970	1552370_at	ENSG00000151470	protein_coding	C4orf33
1971	1552372_at	ENSG00000151470	protein_coding	C4orf33
1969	1552373_s_at	ENSG00000151470	protein_coding	C4orf33
2540	1552375_at	ENSG00000160961	protein_coding	ZNF333
3803	1552377_s_at	ENSG00000175106	protein_coding	TVP23C
4473	1552378_s_at	ENSG00000121039	protein_coding	RDH10
1043	1552381_at	ENSG00000154548	protein_coding	SRSF12
1693	1552383_at	ENSG00000162772	protein_coding	ATF3
1716	1552383_at	ENSG00000162771	protein_coding	FAM71A
1692	1552384_a_at	ENSG00000162772	protein_coding	ATF3
1715	1552384_a_at	ENSG00000162771	protein_coding	FAM71A
4666	1552386_at	ENSG00000175857	protein_coding	GAPT
3629	1552388_at	ENSG00000159307	protein_coding	SCUBE1
5033	1552389_at	ENSG00000177459	protein_coding	ERICH5
5032	1552390_a_at	ENSG00000177459	protein_coding	ERICH5
639	1552391_at	ENSG00000178395	protein_coding	CCDC185
1270	1552393_at	ENSG00000176177	protein_coding	ENTHD1
1269	1552394_a_at	ENSG00000176177	protein_coding	ENTHD1
1012	1552395_at	ENSG00000162526	protein_coding	TSSK3
4634	1552396_at	ENSG00000243543	protein_coding	WFDC6
4637	1552396_at	ENSG00000229900	processed_pseudogene	HSPD1P21
4638	1552396_at	ENSG00000101448	protein_coding	EPPIN
4906	1552398_a_at	ENSG00000172322	protein_coding	CLEC12A
2098	1552399_a_at	ENSG00000185024	protein_coding	BRF1
345	1552400_a_at	ENSG00000169758	protein_coding	TMEM266
2235	1552401_a_at	ENSG00000156273	protein_coding	BACH1
464	1552402_at	ENSG00000169885	protein_coding	CALML6
3177	1552405_at	ENSG00000171487	protein_coding	NLRP5
545	1552408_at	ENSG00000184650	protein_coding	ODF4
546	1552409_a_at	ENSG00000184650	protein_coding	ODF4
1638	1552410_at	ENSG00000231386	processed_pseudogene	AC007395.1
1639	1552410_at	ENSG00000152672	protein_coding	CLEC4F
3844	1552411_at	ENSG00000275794	protein_coding	DEFB106B
3909	1552411_at	ENSG00000187082	protein_coding	DEFB106B
4008	1552411_at	ENSG00000186579	protein_coding	DEFB106A
5325	1552411_at	ENSG00000285617	protein_coding	DEFB106A
5334	1552411_at	ENSG00000284937	protein_coding	DEFB106B
3845	1552412_a_at	ENSG00000275794	protein_coding	DEFB106B
3910	1552412_a_at	ENSG00000187082	protein_coding	DEFB106B
4009	1552412_a_at	ENSG00000186579	protein_coding	DEFB106A
5326	1552412_a_at	ENSG00000285617	protein_coding	DEFB106A
5335	1552412_a_at	ENSG00000284937	protein_coding	DEFB106B
4800	1552414_at	ENSG00000180205	protein_coding	WFDC9
4801	1552415_a_at	ENSG00000180205	protein_coding	WFDC9
2638	1552417_a_at	ENSG00000139350	protein_coding	NEDD1
5060	1552418_at	ENSG00000162571	protein_coding	TTLL10
5059	1552419_s_at	ENSG00000162571	protein_coding	TTLL10
3309	1552421_a_at	ENSG00000269058	protein_coding	CALR3
5297	1552421_a_at	ENSG00000141979	protein_coding	AC008764.1
4762	1552422_at	ENSG00000165511	lncRNA	ZNF22-AS1
4764	1552422_at	ENSG00000226937	transcribed_processed_pseudogene	CEP164P1
4818	1552423_at	ENSG00000117036	protein_coding	ETV3
390	1552424_at	ENSG00000161594	protein_coding	KLHL10
391	1552425_a_at	ENSG00000161594	protein_coding	KLHL10
2639	1552426_a_at	ENSG00000184277	protein_coding	TM2D3
4141	1552427_at	ENSG00000198298	protein_coding	ZNF485
2039	1552430_at	ENSG00000150627	protein_coding	WDR17
3580	1552432_at	ENSG00000185156	protein_coding	MFSD6L
1119	1552436_a_at	ENSG00000107736	protein_coding	CDH23
4927	1552438_a_at	ENSG00000151687	protein_coding	ANKAR
1991	1552439_s_at	ENSG00000157890	protein_coding	MEGF11
3065	1552440_at	ENSG00000287715	lncRNA	AC026120.3
3070	1552440_at	ENSG00000166856	protein_coding	GPR182
3488	1552445_a_at	ENSG00000123576	protein_coding	ESX1
3598	1552448_a_at	ENSG00000184608	lncRNA	FAM167A-AS1
5319	1552448_a_at	ENSG00000285275	lncRNA	FAM167A-AS1
297	1552449_a_at	ENSG00000277730	protein_coding	SCGB1C2
2203	1552449_a_at	ENSG00000268320	protein_coding	SCGB1C2
3907	1552449_a_at	ENSG00000188076	protein_coding	SCGB1C1
4783	1552450_a_at	ENSG00000163793	protein_coding	DNAJC5G
575	1552452_at	ENSG00000166359	protein_coding	WDR88
576	1552453_a_at	ENSG00000166359	protein_coding	WDR88
1529	1552455_at	ENSG00000106772	protein_coding	PRUNE2
3362	1552456_a_at	ENSG00000196589	protein_coding	MBD3L2B
3365	1552456_a_at	ENSG00000237247	protein_coding	MBD3L5
3367	1552456_a_at	ENSG00000205718	protein_coding	MBD3L4
3368	1552456_a_at	ENSG00000230522	protein_coding	MBD3L2
3372	1552456_a_at	ENSG00000182315	protein_coding	MBD3L3
3343	1552457_a_at	ENSG00000178031	protein_coding	ADAMTSL1
1061	1552458_at	ENSG00000170948	protein_coding	MBD3L1
1062	1552459_a_at	ENSG00000170948	protein_coding	MBD3L1
514	1552461_at	ENSG00000174016	protein_coding	TENT5D
1367	1552463_at	ENSG00000206072	protein_coding	SERPINB11
3358	1552466_x_at	ENSG00000226935	lncRNA	LINC00161
2717	1552467_at	ENSG00000233316	lncRNA	DSCR10
2716	1552468_a_at	ENSG00000233316	lncRNA	DSCR10
5172	1552470_a_at	ENSG00000106077	protein_coding	ABHD11
3349	1552472_a_at	ENSG00000114331	protein_coding	ACAP2
3356	1552472_a_at	ENSG00000229325	lncRNA	ACAP2-IT1
2477	1552473_at	ENSG00000130005	protein_coding	GAMT
2476	1552474_a_at	ENSG00000130005	protein_coding	GAMT
154	1552476_s_at	ENSG00000277249	miRNA	MIR6784
3193	1552476_s_at	ENSG00000161714	protein_coding	PLCD3
538	1552477_a_at	ENSG00000117595	protein_coding	IRF6
539	1552478_a_at	ENSG00000117595	protein_coding	IRF6
252	1552480_s_at	ENSG00000081237	protein_coding	PTPRC
1856	1552480_s_at	ENSG00000262418	protein_coding	PTPRC
5043	1552481_s_at	ENSG00000198162	protein_coding	MAN1A2
290	1552482_at	ENSG00000173166	protein_coding	RAPH1
3000	1552484_at	ENSG00000176994	protein_coding	SMCR8
5381	1552484_at	ENSG00000283741	protein_coding	SMCR8
4628	1552485_at	ENSG00000103642	protein_coding	LACTB
4627	1552486_s_at	ENSG00000103642	protein_coding	LACTB
2994	1552487_a_at	ENSG00000169594	protein_coding	BNC1
2786	1552489_s_at	ENSG00000082126	protein_coding	MPP4
715	1552490_at	ENSG00000135537	protein_coding	AFG1L
4158	1552491_at	ENSG00000148377	protein_coding	IDI2
5254	1552493_s_at	ENSG00000160882	protein_coding	CYP11B1
313	1552494_at	ENSG00000137413	protein_coding	TAF8
945	1552496_a_at	ENSG00000106078	protein_coding	COBL
2699	1552497_a_at	ENSG00000162739	protein_coding	SLAMF6
1413	1552498_at	ENSG00000121903	protein_coding	ZSCAN20
1412	1552499_a_at	ENSG00000121903	protein_coding	ZSCAN20
2618	1552501_a_at	ENSG00000179921	protein_coding	GPBAR1
2917	1552502_s_at	ENSG00000158315	protein_coding	RHBDL2
4977	1552503_at	ENSG00000138759	protein_coding	FRAS1
3279	1552504_a_at	ENSG00000160469	protein_coding	BRSK1
4934	1552506_at	ENSG00000148204	protein_coding	CRB2
5178	1552507_at	ENSG00000152049	protein_coding	KCNE4
5179	1552508_at	ENSG00000152049	protein_coding	KCNE4
2610	1552509_a_at	ENSG00000161649	protein_coding	CD300LG
1460	1552510_at	ENSG00000198569	protein_coding	SLC34A3
2977	1552511_a_at	ENSG00000165078	protein_coding	CPA6
4560	1552514_at	ENSG00000183066	protein_coding	WBP2NL
2907	1552515_at	ENSG00000163349	protein_coding	HIPK1
2906	1552516_a_at	ENSG00000163349	protein_coding	HIPK1
2250	1552518_s_at	ENSG00000172167	protein_coding	MTBP
4329	1552519_at	ENSG00000123612	protein_coding	ACVR1C
1095	1552520_at	ENSG00000164841	protein_coding	TMEM74
1096	1552521_a_at	ENSG00000164841	protein_coding	TMEM74
3226	1552522_at	ENSG00000169989	protein_coding	TIGD4
3225	1552523_a_at	ENSG00000169989	protein_coding	TIGD4
3650	1552524_at	ENSG00000167311	protein_coding	ART5
3926	1552526_at	ENSG00000180219	protein_coding	FAM71C
2847	1552528_at	ENSG00000183250	lncRNA	LINC01547
3172	1552531_a_at	ENSG00000179873	protein_coding	NLRP11
2463	1552532_a_at	ENSG00000143882	protein_coding	ATP6V1C2
4217	1552535_at	ENSG00000164007	protein_coding	CLDN19
4064	1552536_at	ENSG00000151532	protein_coding	VTI1A
3258	1552538_a_at	ENSG00000164627	protein_coding	KIF6
1069	1552540_s_at	ENSG00000166578	protein_coding	IQCD
1078	1552541_at	ENSG00000164691	protein_coding	TAGAP
1068	1552542_s_at	ENSG00000226032	lncRNA	AL035530.1
1077	1552542_s_at	ENSG00000164691	protein_coding	TAGAP
3738	1552543_a_at	ENSG00000140022	protein_coding	STON2
3455	1552544_at	ENSG00000165953	protein_coding	SERPINA12
732	1552546_a_at	ENSG00000165046	protein_coding	LETM2
541	1552548_at	ENSG00000162399	protein_coding	BSND
542	1552549_a_at	ENSG00000162399	protein_coding	BSND
3521	1552552_s_at	ENSG00000198178	protein_coding	CLEC4C
420	1552553_a_at	ENSG00000091106	protein_coding	NLRC4
419	1552554_a_at	ENSG00000091106	protein_coding	NLRC4
4333	1552555_at	ENSG00000178226	protein_coding	PRSS36
605	1552557_a_at	ENSG00000102383	protein_coding	ZDHHC15
4284	1552558_a_at	ENSG00000108557	protein_coding	RAI1
3210	1552559_a_at	ENSG00000138395	protein_coding	CDK15
1098	1552562_at	ENSG00000171827	protein_coding	ZNF570
3511	1552563_a_at	ENSG00000254556	lncRNA	AF131215.2
5324	1552563_a_at	ENSG00000285276	lncRNA	AC270301.7
1919	1552564_at	ENSG00000234043	processed_pseudogene	NUDT9P1
3725	1552566_at	ENSG00000138152	protein_coding	BTBD16
5196	1552568_at	ENSG00000163825	protein_coding	RTP3
5195	1552569_a_at	ENSG00000163825	protein_coding	RTP3
3125	1552570_at	ENSG00000175894	protein_coding	TSPEAR
1938	1552572_a_at	ENSG00000151338	protein_coding	MIPOL1
1939	1552573_s_at	ENSG00000151338	protein_coding	MIPOL1
3139	1552575_a_at	ENSG00000197261	protein_coding	C6orf141
4106	1552576_at	ENSG00000116127	protein_coding	ALMS1
4164	1552576_at	ENSG00000163016	transcribed_unprocessed_pseudogene	ALMS1P1
4860	1552578_a_at	ENSG00000071909	protein_coding	MYO3B
1217	1552579_a_at	ENSG00000139985	protein_coding	ADAM21
2051	1552580_at	ENSG00000179046	protein_coding	TRIML2
4415	1552582_at	ENSG00000243064	transcribed_unprocessed_pseudogene	ABCC13
4414	1552583_s_at	ENSG00000243064	transcribed_unprocessed_pseudogene	ABCC13
1483	1552584_at	ENSG00000096996	protein_coding	IL12RB1
3342	1552585_s_at	ENSG00000242441	protein_coding	GTF2A1L
2068	1552586_at	ENSG00000167723	protein_coding	TRPV3
2081	1552586_at	ENSG00000141255	protein_coding	SPATA22
994	1552587_at	ENSG00000176571	protein_coding	CNBD1
993	1552588_a_at	ENSG00000176571	protein_coding	CNBD1
3413	1552590_a_at	ENSG00000140798	protein_coding	ABCC12
4077	1552592_at	ENSG00000154485	protein_coding	MMP21
3154	1552594_at	ENSG00000160472	protein_coding	TMEM190
282	1552596_at	ENSG00000270765	protein_coding	GAS2L2
3151	1552598_at	ENSG00000168418	protein_coding	KCNG4
4679	1552599_at	ENSG00000179165	protein_coding	PXT1
984	1552602_at	ENSG00000075429	protein_coding	CACNG5
1700	1552604_at	ENSG00000262510	lncRNA	AP000705.5
2925	1552604_at	ENSG00000184856	lncRNA	LINC00308
1699	1552605_s_at	ENSG00000262510	lncRNA	AP000705.5
2924	1552605_s_at	ENSG00000184856	lncRNA	LINC00308
361	1552607_at	ENSG00000279245	lncRNA	FAM223A
1727	1552607_at	ENSG00000272681	lncRNA	FAM223B
4811	1552608_at	ENSG00000180083	protein_coding	WFDC11
1878	1552609_s_at	ENSG00000197110	protein_coding	IFNL3
1884	1552609_s_at	ENSG00000272311	unprocessed_pseudogene	IFNL4P1
1886	1552609_s_at	ENSG00000183709	protein_coding	IFNL2
5037	1552610_a_at	ENSG00000162434	protein_coding	JAK1
5036	1552611_a_at	ENSG00000162434	protein_coding	JAK1
3149	1552612_at	ENSG00000158985	protein_coding	CDC42SE2
3150	1552613_s_at	ENSG00000158985	protein_coding	CDC42SE2
4649	1552615_at	ENSG00000076555	protein_coding	ACACB
4648	1552616_a_at	ENSG00000076555	protein_coding	ACACB
2903	1552617_a_at	ENSG00000143207	protein_coding	COP1
3165	1552618_at	ENSG00000135823	protein_coding	STX6
3166	1552618_at	ENSG00000243155	lncRNA	AL162431.1
2000	1552619_a_at	ENSG00000011426	protein_coding	ANLN
2451	1552620_at	ENSG00000184148	protein_coding	SPRR4
117	1552621_at	ENSG00000200874	misc_RNA	AC211429.1
181	1552621_at	ENSG00000201565	misc_RNA	AC006480.1
200	1552621_at	ENSG00000238560	misc_RNA	AC004980.4
1374	1552621_at	ENSG00000067601	transcribed_unprocessed_pseudogene	PMS2P4
2244	1552621_at	ENSG00000285437	protein_coding	POLR2J3
2249	1552621_at	ENSG00000168255	protein_coding	POLR2J3
2265	1552621_at	ENSG00000228049	protein_coding	POLR2J2
3985	1552621_at	ENSG00000127957	transcribed_unprocessed_pseudogene	PMS2P3
5078	1552621_at	ENSG00000272655	transcribed_unprocessed_pseudogene	POLR2J4
5082	1552621_at	ENSG00000285596	lncRNA	AC017116.2
93	1552622_s_at	ENSG00000267828	misc_RNA	AC211486.5
111	1552622_s_at	ENSG00000274984	misc_RNA	AC211476.7
113	1552622_s_at	ENSG00000201913	misc_RNA	AC005071.1
115	1552622_s_at	ENSG00000201885	misc_RNA	AC114737.1
116	1552622_s_at	ENSG00000200874	misc_RNA	AC211429.1
132	1552622_s_at	ENSG00000199913	misc_RNA	AC211476.1
138	1552622_s_at	ENSG00000201959	misc_RNA	AC007000.1
143	1552622_s_at	ENSG00000273927	misc_RNA	AC211476.6
180	1552622_s_at	ENSG00000201565	misc_RNA	AC006480.1
199	1552622_s_at	ENSG00000238560	misc_RNA	AC004980.4
201	1552622_s_at	ENSG00000239069	misc_RNA	AC211424.1
205	1552622_s_at	ENSG00000200552	misc_RNA	AC091390.2
212	1552622_s_at	ENSG00000202021	misc_RNA	AC211486.3
216	1552622_s_at	ENSG00000199870	misc_RNA	AC211486.2
388	1552622_s_at	ENSG00000201282	misc_RNA	AC211476.2
1348	1552622_s_at	ENSG00000265479	lncRNA	DTX2P1-UPK3BP1-PMS2P11
1352	1552622_s_at	ENSG00000233448	transcribed_unprocessed_pseudogene	PMS2P9
1353	1552622_s_at	ENSG00000241350	transcribed_unprocessed_pseudogene	PMS2P11
1373	1552622_s_at	ENSG00000067601	transcribed_unprocessed_pseudogene	PMS2P4
1993	1552622_s_at	ENSG00000228546	unprocessed_pseudogene	AC091390.3
2243	1552622_s_at	ENSG00000285437	protein_coding	POLR2J3
2248	1552622_s_at	ENSG00000168255	protein_coding	POLR2J3
2264	1552622_s_at	ENSG00000228049	protein_coding	POLR2J2
3027	1552622_s_at	ENSG00000285702	lncRNA	AC211476.11
3984	1552622_s_at	ENSG00000127957	transcribed_unprocessed_pseudogene	PMS2P3
4755	1552622_s_at	ENSG00000123965	unprocessed_pseudogene	PMS2P5
5077	1552622_s_at	ENSG00000272655	transcribed_unprocessed_pseudogene	POLR2J4
5081	1552622_s_at	ENSG00000285596	lncRNA	AC017116.2
373	1552623_at	ENSG00000196684	protein_coding	HSH2D
5249	1552625_a_at	ENSG00000072756	protein_coding	TRNT1
4671	1552626_a_at	ENSG00000152128	protein_coding	TMEM163
2316	1552627_a_at	ENSG00000100852	protein_coding	ARHGAP5
1538	1552628_a_at	ENSG00000122557	protein_coding	HERPUD2
190	1552629_a_at	ENSG00000274051	misc_RNA	AC005837.3
1248	1552629_a_at	ENSG00000070495	protein_coding	JMJD6
1358	1552630_a_at	ENSG00000282034	protein_coding	AC106886.6
1362	1552630_a_at	ENSG00000080603	protein_coding	SRCAP
4803	1552631_a_at	ENSG00000142733	protein_coding	MAP3K6
1526	1552632_a_at	ENSG00000267009	lncRNA	AC007780.1
1547	1552632_a_at	ENSG00000141337	protein_coding	ARSG
929	1552633_at	ENSG00000181896	protein_coding	ZNF101
928	1552634_a_at	ENSG00000181896	protein_coding	ZNF101
4799	1552637_at	ENSG00000179295	protein_coding	PTPN11
4916	1552639_at	ENSG00000130487	protein_coding	KLHDC7B
1911	1552641_s_at	ENSG00000160072	protein_coding	ATAD3B
1997	1552641_s_at	ENSG00000197785	protein_coding	ATAD3A
1031	1552643_at	ENSG00000188171	protein_coding	ZNF626
1694	1552644_a_at	ENSG00000173889	protein_coding	PHC3
3098	1552646_at	ENSG00000137070	protein_coding	IL11RA
3099	1552646_at	ENSG00000258728	protein_coding	AL162231.3
1563	1552648_a_at	ENSG00000104689	protein_coding	TNFRSF10A
3108	1552649_a_at	ENSG00000092871	protein_coding	RFFL
3119	1552649_a_at	ENSG00000267618	protein_coding	AC004223.3
3107	1552651_a_at	ENSG00000092871	protein_coding	RFFL
3118	1552651_a_at	ENSG00000267618	protein_coding	AC004223.3
4920	1552652_at	ENSG00000100099	protein_coding	HPS4
2166	1552656_s_at	ENSG00000152332	protein_coding	UHMK1
1369	1552657_a_at	ENSG00000168454	protein_coding	TXNDC2
3621	1552658_a_at	ENSG00000067798	protein_coding	NAV3
5222	1552660_a_at	ENSG00000082213	protein_coding	C5orf22
5286	1552661_at	ENSG00000254122	protein_coding	PCDHGB7
5285	1552662_a_at	ENSG00000254122	protein_coding	PCDHGB7
4910	1552663_a_at	ENSG00000082805	protein_coding	ERC1
3510	1552664_at	ENSG00000154803	protein_coding	FLCN
4630	1552665_at	ENSG00000272767	lncRNA	JMJD1C-AS1
3989	1552666_a_at	ENSG00000033122	protein_coding	LRRC7
4979	1552667_a_at	ENSG00000095370	protein_coding	SH2D3C
4222	1552670_a_at	ENSG00000173281	protein_coding	PPP1R3B
5332	1552670_a_at	ENSG00000285343	protein_coding	PPP1R3B
3490	1552671_a_at	ENSG00000065923	protein_coding	SLC9A7
4752	1552672_a_at	ENSG00000143061	protein_coding	IGSF3
2785	1552673_at	ENSG00000185002	protein_coding	RFX6
4338	1552674_at	ENSG00000174325	protein_coding	DIRC1
3602	1552675_at	ENSG00000172404	protein_coding	DNAJB7
3559	1552676_at	ENSG00000178473	protein_coding	UCN3
2342	1552677_a_at	ENSG00000160305	protein_coding	DIP2A
4845	1552678_a_at	ENSG00000048028	protein_coding	USP28
427	1552680_a_at	ENSG00000137812	protein_coding	KNL1
428	1552682_a_at	ENSG00000137812	protein_coding	KNL1
3541	1552684_a_at	ENSG00000166192	protein_coding	SENP8
3560	1552684_a_at	ENSG00000243568	processed_pseudogene	AC020779.1
1780	1552685_a_at	ENSG00000134317	protein_coding	GRHL1
1704	1552686_at	ENSG00000149646	protein_coding	CNBD2
1705	1552687_a_at	ENSG00000149646	protein_coding	CNBD2
1603	1552689_at	ENSG00000167971	protein_coding	CASKIN1
3969	1552690_a_at	ENSG00000151062	protein_coding	CACNA2D4
5338	1552690_a_at	ENSG00000284953	protein_coding	CACNA2D4
4031	1552691_at	ENSG00000152213	protein_coding	ARL11
4032	1552693_at	ENSG00000152213	protein_coding	ARL11
2390	1552694_at	ENSG00000151229	protein_coding	SLC2A13
2389	1552695_a_at	ENSG00000151229	protein_coding	SLC2A13
3865	1552696_at	ENSG00000170113	protein_coding	NIPA1
4156	1552698_at	ENSG00000161149	lncRNA	TUBA3FP
4159	1552698_at	ENSG00000284130	transcribed_unprocessed_pseudogene	AC002472.3
1246	1552701_a_at	ENSG00000204397	protein_coding	CARD16
620	1552703_s_at	ENSG00000137752	protein_coding	CASP1
1245	1552703_s_at	ENSG00000204397	protein_coding	CARD16
3159	1552705_at	ENSG00000162999	protein_coding	DUSP19
3158	1552708_a_at	ENSG00000162999	protein_coding	DUSP19
3971	1552711_a_at	ENSG00000182224	protein_coding	CYB5D1
4001	1552711_a_at	ENSG00000280046	TEC	AC104581.4
3260	1552712_a_at	ENSG00000157064	protein_coding	NMNAT2
3091	1552713_a_at	ENSG00000004939	protein_coding	SLC4A1
5204	1552714_at	ENSG00000175874	protein_coding	CREG2
4745	1552715_a_at	ENSG00000171509	protein_coding	RXFP1
779	1552716_at	ENSG00000152582	protein_coding	SPEF2
1302	1552717_s_at	ENSG00000143702	protein_coding	CEP170
1964	1552717_s_at	ENSG00000276725	protein_coding	CEP170
3504	1552717_s_at	ENSG00000154608	transcribed_unprocessed_pseudogene	CEP170P1
3943	1552718_at	ENSG00000125821	protein_coding	DTD1
2271	1552719_at	ENSG00000166734	protein_coding	CASC4
1273	1552721_a_at	ENSG00000113578	protein_coding	FGF1
1395	1552722_at	ENSG00000172995	protein_coding	ARPP21
5027	1552724_at	ENSG00000101883	protein_coding	RHOXF1
357	1552725_s_at	ENSG00000140470	protein_coding	ADAMTS17
358	1552726_at	ENSG00000140470	protein_coding	ADAMTS17
356	1552727_s_at	ENSG00000140470	protein_coding	ADAMTS17
